Team,SRS,SOS,Pace,OFF,FTR,EFG,TOV,ORB,DEF,Opp FTR,Opp EFG,Opp TOV,Opp ORB
Abilene Christian,2.67,-2.09,71.8,104.7,.374,.492,14.9,29.2,91.1,.482,.499,26.2,30.0
Air Force,-5.24,1.76,63.4,93.1,.268,.509,19.6,19.6,104.1,.389,.515,17.9,29.4
Akron,0.67,-4.46,64.3,110.3,.397,.536,15.4,30.7,97.3,.259,.484,16.2,25.5
Alabama A&amp;M,-14.17,-8.60,68.3,88.5,.335,.412,16.8,28.7,96.5,.286,.463,16.7,30.9
UAB,11.09,-0.72,70.6,113.1,.285,.531,13.7,33.9,92.9,.305,.473,19.7,27.5
Alabama State,-11.78,-5.18,71.4,96.7,.378,.481,18.7,29.7,104.4,.339,.503,16.8,33.1
Alabama,15.47,11.91,73.3,108.7,.336,.515,16.7,35.6,103.9,.352,.494,15.3,30.7
Albany (NY),-9.75,-5.72,65.8,93.6,.250,.462,16.4,26.1,99.7,.318,.507,18.3,27.2
Alcorn State,-8.42,-3.86,69.0,95.8,.324,.458,17.3,31.9,102.3,.367,.507,16.8,27.8
American,-15.33,-7.86,66.8,94.2,.256,.496,18.0,21.6,105.3,.289,.533,15.2,24.8
Appalachian State,-1.45,-1.45,65.5,102.0,.273,.490,13.6,27.3,96.0,.212,.478,16.1,25.0
Arizona State,8.21,10.05,67.9,94.7,.212,.471,15.2,24.9,97.4,.323,.463,16.8,30.3
Arizona,24.00,6.97,72.9,115.5,.351,.559,15.5,34.5,92.2,.228,.444,15.2,28.3
Little Rock,-11.79,-0.47,68.0,96.3,.325,.485,17.8,24.6,105.6,.298,.544,18.3,29.1
Arkansas-Pine Bluff,-18.66,-4.29,69.2,95.4,.345,.470,16.8,24.7,112.7,.333,.552,16.5,34.8
Arkansas State,-3.03,-3.26,69.5,101.5,.332,.498,17.4,29.8,97.5,.293,.483,17.2,28.0
Arkansas,16.49,8.09,72.1,106.0,.379,.492,15.0,30.8,94.4,.323,.475,18.3,25.7
Army,-10.50,-7.50,69.9,99.9,.316,.494,16.2,30.0,99.9,.224,.513,17.3,26.4
